epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.867,2.27163,3.85493,1.55266,0.00557,0.37659,0.04442,0.0125,1.9359,3.71716,1.35904,0.00037154,0.00037154,0.00037154
2,19.5559,2.03124,3.03897,1.36746,0.00415,0.31851,0.02152,0.00726,1.90215,3.65204,1.40532,0.000749872,0.000749872,0.000749872
3,28.1119,1.97538,2.71843,1.39097,0.4147,0.01768,0.02256,0.01065,2.15619,3.59012,1.65834,0.00112056,0.00112056,0.00112056
4,35.3853,1.99169,2.588,1.422,0.35154,0.118,0.20452,0.08685,1.96839,2.80242,1.47734,0.00138656,0.00138656,0.00138656
5,43.8095,1.95071,2.42858,1.42734,0.41979,0.31003,0.26752,0.10021,2.01628,2.60749,1.55597,0.00137241,0.00137241,0.00137241
6,51.7015,1.86656,2.26384,1.36368,0.38855,0.35466,0.32715,0.13608,2.03014,2.33281,1.5328,0.00135826,0.00135826,0.00135826
7,59.4369,1.87071,2.16387,1.37384,0.3527,0.35469,0.35401,0.15321,1.9746,2.41071,1.45626,0.00134412,0.00134412,0.00134412
8,67.8107,1.79032,2.04729,1.32442,0.43521,0.48788,0.45129,0.19736,1.90512,2.59833,1.43448,0.00132997,0.00132997,0.00132997
9,75.0689,1.76594,1.95211,1.34597,0.52521,0.38824,0.41482,0.18556,1.96999,2.07678,1.45355,0.00131582,0.00131582,0.00131582
10,83.6749,1.76747,1.93354,1.33315,0.52382,0.4468,0.45163,0.16722,2.02333,1.96625,1.55689,0.00130168,0.00130168,0.00130168
11,91.945,1.76969,1.82083,1.3228,0.50093,0.45541,0.42391,0.17682,2.08216,1.96996,1.48799,0.00128753,0.00128753,0.00128753
12,99.1565,1.75225,1.76352,1.30542,0.4321,0.45092,0.37803,0.14517,2.1329,2.3502,1.59684,0.00127338,0.00127338,0.00127338
13,107.518,1.71944,1.70288,1.27633,0.51793,0.46382,0.49263,0.21267,1.9691,1.74877,1.43257,0.00125923,0.00125923,0.00125923
14,115.038,1.70634,1.67683,1.29086,0.69018,0.50386,0.52569,0.23355,1.93962,1.67392,1.47393,0.00124509,0.00124509,0.00124509
